url,marca,modelo,tipo,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,calibre_total,peso,polarizadas,valoracion,num_resenas,precio
https://www.lentiamo.es/versace-0ve-2274-100287-58.html,Versace,0VE2274 100287 58,sol,Mujer,Metal,Rectangulares,,Dorado,M,,13.0,140.0,132.0,400.0,False,,,299.9
https://www.lentiamo.es/versace-0ve-4480u-314-87-51.html,Versace,0VE4480U 314/87 51,sol,Mujer,Pasta,Cat Eye,,Blanco,M,,18.0,140.0,135.0,430.0,False,,,209.9
https://www.lentiamo.es/versace-0ve-2294-100287-61.html,Versace,0VE2294 100287 61,sol,Hombre,Metal,Cuadradas,,Negro,L,,12.0,145.0,145.0,470.0,False,,,199.9
https://www.lentiamo.es/versace-0ve-4501-554287-54.html,Versace,0VE4501 554287 54,sol,Mujer,Acetato,Cat Eye,,Rojo,L,,19.0,145.0,141.0,420.0,False,,,194.9
https://www.lentiamo.es/versace-0ve-4503u-55348d-55.html,Versace,0VE4503U 55348D 55,sol,Mujer,Pasta,Redondas,,Rojo,M,,18.0,115.0,138.0,540.0,False,,,209.9
https://www.lentiamo.es/versace-0ve-2279-100287-60.html,Versace,0VE2279 100287 60,sol,Hombre,Metal,Rectangulares,,Dorado,M,,18.0,135.0,138.0,400.0,False,,,249.9
https://www.lentiamo.es/versace-0ve-2282-10029c-59.html,Versace,0VE2282 10029C 59,sol,Mujer,Metal,Cuadradas,,Dorado,M,,15.0,140.0,140.0,460.0,False,,,209.9
https://www.lentiamo.es/versace-0ve-4459-108-87-54.html,Versace,0VE4459 108/87 54,sol,Unisex,Acetato,Rectangulares,,MarrÃ³n,M,,18.0,140.0,134.0,390.0,False,,,229.9
https://www.lentiamo.es/versace-0ve-4497u-314-73-53.html,Versace,0VE4497U 314/73 53,sol,Mujer,Pasta,Cuadradas,,Blanco,M,,15.0,140.0,139.0,440.0,False,,,194.9
https://www.lentiamo.es/versace-0ve-2296-100284-60.html,Versace,0VE2296 100284 60,sol,Mujer,Metal,Cuadradas,,Dorado,M,,14.0,145.0,137.0,470.0,False,,,229.9
https://www.lentiamo.es/versace-0ve-2288-100287-62.html,Versace,0VE2288 100287 62,sol,Mujer,Metal,Cuadradas,,Dorado,M,,11.0,130.0,140.0,480.0,False,,,229.9
https://www.lentiamo.es/versace-0ve-4391-gb1-87-48.html,Versace,0VE4391 GB1/87 48,sol,Hombre,Nylon,Aviador,,Negro,L,,148.0,140.0,142.0,390.0,False,,,194.9
