modelo,marca,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,peso,gama_marca,segmento_comercial,pais_origen,precio_min,precio_max,categoria_material,gama_material,peso_relativo,aspect_ratio,area_aprox,densidad,ancho_total,montura_completa,es_unisex,color_basico,material_eco,precio_medio_marca,precio,log_precio
SL 815 ROMY OPT 004 56,Saint Laurent,Mujer,Pasta,Rectangulares,Montura completa,marron,M,56.0,20.0,145.0,215.0,lujo,moda_lujo,Francia,210.0,420.0,acetato,media,ligero,0.38620689655172413,1120.0,0.19196428571428573,132.0,1,0,1,0,315.0,269.9,5.6017497490910495
Ray-Ban 0RX7159 2000,Ray-Ban,Unisex,Propionato,Cuadradas,Montura completa,negro,M,52.0,18.0,145.0,175.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,propionato,media,ligero,0.3586206896551724,936.0,0.18696581196581197,122.0,1,1,1,0,170.0,119.9,4.794963757620747
GG2099O 001 54,Gucci,Mujer,Metal,Rectangulares,Montura al aire,plateado,M,54.0,20.0,145.0,145.0,lujo,moda_lujo,Italia,260.0,520.0,metal,media_alta,medio,0.3724137931034483,1080.0,0.13425925925925927,128.0,0,0,0,0,390.0,299.9,5.706777983635999
0PO3329V 1103 54,Persol,Unisex,Acetato,Cuadradas,Montura completa,gris,M,54.0,18.0,145.0,255.0,premium,moda_premium,Italia,120.0,260.0,acetato,media,ligero,0.3724137931034483,972.0,0.2623456790123457,126.0,1,1,0,0,190.0,209.9,5.351384087484729
Nano Vista Gaikai 3.0 NAO30505 SC (clip solar),Nano Vista,Niños,Pasta,Rectangulares,Montura completa,azul,M,46.0,15.0,132.0,80.0,gama_media,marca_blanca_OEM,España/Italia,40.0,100.0,acetato,media,ligero,0.3484848484848485,690.0,0.11594202898550725,107.0,1,0,0,0,70.0,89.99,4.5107496103686
ET17447N 508 53,Esprit,Unisex,Pasta,Rectangulares,Montura completa,azul,S,53.0,16.0,145.0,85.0,gama_media,moda_casual,Alemania,70.0,150.0,acetato,media,ligero,0.36551724137931035,848.0,0.10023584905660378,122.0,1,1,0,0,110.0,79.99,4.3943256902608985
SL 822 OPT 001 52,Saint Laurent,Mujer,Pasta,Cat Eye,Montura completa,negro,S,52.0,18.0,145.0,105.0,lujo,moda_lujo,Francia,210.0,420.0,acetato,media,ligero,0.3586206896551724,936.0,0.11217948717948718,122.0,1,0,1,0,315.0,239.9,5.484381909620826
0AX1064 6003 56,Armani Exchange,Hombre,Metal,Rectangulares,Montura al aire,negro,M,56.0,17.0,145.0,80.0,gama_media,moda_premium,Italia,120.0,240.0,metal,media_alta,medio,0.38620689655172413,952.0,0.08403361344537816,129.0,0,0,1,0,180.0,82.99,4.430697744137536
0RX7047 5196 56,Ray-Ban,Unisex,Pasta,Rectangulares,Montura completa,negro,L,56.0,17.0,145.0,160.0,gama_media,moda_casual,Estados Unidos,100.0,240.0,acetato,media,ligero,0.38620689655172413,952.0,0.16806722689075632,129.0,1,1,1,0,170.0,96.99,4.584865432647727
Sprite SC 3.0 NAO30610 46,Nano Vista,Niños,Pasta,Redondas,Montura completa,azul,XS,46.0,14.0,132.0,80.0,gama_media,marca_blanca_OEM,España/Italia,40.0,100.0,acetato,media,ligero,0.3484848484848485,644.0,0.12422360248447205,106.0,1,0,0,0,70.0,83.9,4.441474093317302
GG1928O 001 53,Gucci,Hombre,Metal/Pasta,Rectangulares,Montura completa,negro,M,53.0,19.0,145.0,205.0,lujo,moda_lujo,Italia,260.0,520.0,mezcla,media,medio,0.36551724137931035,1007.0,0.2035749751737835,125.0,1,0,1,0,390.0,199.9,5.302807271820889
0PR 18WV 29D1O1 52,Prada,Mujer,Acetato,Cuadradas,Montura completa,rosa,S,52.0,17.0,145.0,280.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.3586206896551724,884.0,0.3167420814479638,121.0,1,0,0,0,390.0,219.9,5.397710110426072
OX8105 810526 50,Oakley,Hombre,Metal/Pasta,Redondas,Montura completa,gris,M,50.0,19.0,140.0,190.0,gama_media,deportiva,Estados Unidos,100.0,240.0,mezcla,media,medio,0.35714285714285715,950.0,0.2,119.0,1,0,0,0,170.0,139.9,4.948050418904635
Fangame 3.0 NAO30311 52,Nano Vista,Niños,Pasta,Rectangulares,Montura completa,azul,S,52.0,15.0,133.0,70.0,gama_media,marca_blanca_OEM,España/Italia,40.0,100.0,acetato,media,ligero,0.39097744360902253,780.0,0.08974358974358974,119.0,1,0,0,0,70.0,83.9,4.441474093317302
0AX1034 6103 52,Armani Exchange,Mujer,Metal,Cat Eye,Montura completa,rosa,M,52.0,16.0,140.0,100.0,gama_media,moda_premium,Italia,120.0,240.0,metal,media_alta,medio,0.37142857142857144,832.0,0.1201923076923077,120.0,1,0,0,0,180.0,79.0,4.382026634673881
0OV5562U 1753 51,Oliver Peoples,Unisex,Pasta,Cuadradas,Montura completa,marron,M,51.0,18.0,145.0,195.0,premium,moda_premium,Estados Unidos,180.0,320.0,acetato,media,ligero,0.35172413793103446,918.0,0.21241830065359477,120.0,1,1,1,0,250.0,279.9,5.637998734110198
